T=17.5, H=57.3, 20-Nov-2015, 01.15.03
T=17.4, H=57.3, 20-Nov-2015, 01.30.05
T=17.4, H=57.3, 20-Nov-2015, 01.45.03
T=17.4, H=57.5, 20-Nov-2015, 02.00.03
T=17.3, H=57.6, 20-Nov-2015, 02.15.05
T=17.3, H=57.6, 20-Nov-2015, 02.30.15
T=17.3, H=57.6, 20-Nov-2015, 02.45.05
T=17.2, H=57.5, 20-Nov-2015, 03.00.03
T=17.2, H=57.5, 20-Nov-2015, 03.15.02
T=17.2, H=57.5, 20-Nov-2015, 03.30.02
T=17.2, H=57.6, 20-Nov-2015, 03.45.03
T=17.1, H=57.3, 20-Nov-2015, 04.00.02
T=17.1, H=57.5, 20-Nov-2015, 04.15.03
T=17.1, H=57.5, 20-Nov-2015, 04.30.10
T=17.1, H=57.5, 20-Nov-2015, 04.45.03
T=17.1, H=57.5, 20-Nov-2015, 05.00.02
T=17.1, H=57.4, 20-Nov-2015, 05.15.02
T=17.1, H=57.5, 20-Nov-2015, 05.30.03
T=17.1, H=57.4, 20-Nov-2015, 05.45.02
T=17.0, H=57.3, 20-Nov-2015, 06.00.08
T=17.0, H=57.3, 20-Nov-2015, 06.15.03
T=17.0, H=57.4, 20-Nov-2015, 06.30.03
T=17.0, H=57.3, 20-Nov-2015, 06.45.02
T=17.0, H=57.3, 20-Nov-2015, 07.00.03
T=16.9, H=57.5, 20-Nov-2015, 07.15.03
T=16.9, H=57.5, 20-Nov-2015, 07.30.03
T=16.9, H=57.5, 20-Nov-2015, 07.45.02
T=16.9, H=57.5, 20-Nov-2015, 08.00.03
T=16.9, H=57.6, 20-Nov-2015, 08.15.03
T=16.9, H=57.6, 20-Nov-2015, 08.30.02
T=16.4, H=48.3, 20-Nov-2015, 08.45.03
T=16.7, H=55.9, 20-Nov-2015, 09.00.05
T=16.7, H=55.9, 20-Nov-2015, 09.15.03
T=16.7, H=56.0, 20-Nov-2015, 09.30.03
T=16.7, H=55.9, 20-Nov-2015, 09.45.02
T=16.7, H=55.3, 20-Nov-2015, 10.00.05
T=16.7, H=55.3, 20-Nov-2015, 10.15.02
T=16.7, H=55.4, 20-Nov-2015, 10.30.03
T=16.6, H=54.9, 20-Nov-2015, 10.45.02
T=16.7, H=54.2, 20-Nov-2015, 11.00.03
T=16.7, H=54.4, 20-Nov-2015, 11.15.03
T=16.7, H=54.2, 20-Nov-2015, 11.30.05
T=16.7, H=54.2, 20-Nov-2015, 11.45.03
T=16.7, H=53.8, 20-Nov-2015, 12.00.02
T=16.7, H=53.8, 20-Nov-2015, 12.15.03
T=16.7, H=53.6, 20-Nov-2015, 12.30.03
T=16.7, H=53.5, 20-Nov-2015, 12.45.02
T=16.8, H=53.5, 20-Nov-2015, 13.00.03
